ParticipantID,Trial,Fixation,Duration,PupilSize,PositionX,PositionY,StartTime,EndTime,Task,SearchType,SearchOrder,Stimulus,Directionality,Ostension,ActorGender,ParticipantGender,Year
1_2_f,1,5,2327,2506,975.8,493.6,2421,4747,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,9,1744,2280,977.3,466.2,6101,7844,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,8,143,2299,988.5,474.7,5948,6090,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,2,1030,2678,982,535.1,840,1869,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,3,245,2593,902.6,749.7,1920,2164,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,4,185,2605,988.8,723.3,2186,2370,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,10,350,2391,971.4,480.7,7862,8211,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,7,948,2439,991.7,653.6,4951,5898,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,1,629,2678,1010.5,472.7,7,635,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
1_2_f,1,6,146,2542,996.5,686.9,4795,4940,SocialEngagement,NA,NA,f_pl_o1_dir_+o,TowardsYou,Ostensive,Female,female,2018
2_1_f,1,2,171,1062,924.1,471.7,566,736,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,4,989,796,955.4,459.8,1214,2202,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,9,1684,978,960.3,448,4722,6405,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,6,944,841,849.6,639.5,2375,3318,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,3,452,1007,952.3,459.8,751,1202,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,5,127,781,888.6,599.6,2230,2356,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,1,509,990,787.5,730.3,7,515,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,8,105,1061,930.5,440.7,4597,4701,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_1_f,1,7,1065,918,929.5,467.6,3373,4437,SocialEngagement,NA,NA,m_pl_o1_div_+o,Towards3rd,Ostensive,Male,female,2018
2_2_f2,1,21,603,1384,520.2,603.4,7624,8226,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,44,231,1586,833.2,754.8,18500,18730,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,45,229,1611,811.4,735.7,18742,18970,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,46,759,1601,783.7,729.6,18981,19739,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,47,147,1610,819.2,716.3,19770,19916,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,48,358,1648,763.6,715.9,19933,20290,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,49,489,1626,858.3,722,20327,20815,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,50,204,1712,863,655.9,20980,21183,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,43,456,1586,808.3,754.1,18017,18472,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,6,262,1610,192.7,693.7,1157,1418,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,7,418,1648,154.9,716.5,1445,1862,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,8,317,1629,212.9,717.1,1888,2204,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,38,180,1590,823.8,805.1,15715,15894,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,39,344,1611,745.4,769.1,15915,16258,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,40,504,1613,726.6,769.6,16267,16770,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,41,527,1603,773,737.9,16809,17335,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,42,640,1593,821.2,773.4,17359,17998,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,5,168,1583,232.2,687.1,978,1145,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,9,213,1585,278.4,706,2228,2440,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,10,239,1533,375.2,729.7,2464,2702,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,11,149,1519,308.3,710.6,2723,2871,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,12,577,1443,228,657.2,2897,3473,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,13,231,1320,263.4,610.9,3492,3722,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,14,610,1360,246.6,629.2,3744,4353,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,20,697,1432,468.3,616.9,6907,7603,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,22,375,1551,541.2,633.5,8244,8618,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,23,319,1581,598.1,663.8,8641,8959,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,24,367,1611,504,660.9,8988,9354,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,25,559,1541,576.3,703.3,9379,9937,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,26,1018,1511,634.4,761.1,9962,10979,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,27,527,1595,689.7,798.2,11016,11542,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,28,619,1512,653.4,883.3,11564,12182,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,29,270,1480,738.9,860.4,12206,12475,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,30,931,1407,883.1,826,12502,13432,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,31,222,1416,905.1,825.4,13452,13673,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,32,334,1460,871.7,826.6,13683,14016,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,33,480,1441,1093.4,913.7,14049,14528,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,34,126,1549,916.5,758.3,14580,14705,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,35,191,1537,755.4,701.3,14741,14931,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
2_2_f2,1,36,304,1509,817.9,722.8,14953,15256,VisualSearch,Count,2,ng021ws.jpg,NA,NA,NA,female,2018
