ParticipantID,Trial,Saccade,Direction,Amplitude,PeakVelocity,MeanVelocity,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,Blink,SearchType,SearchOrder,Task,ParticipantGender,Stimulus,ActorGender,Directionality,Ostension,Year
1_1_f1,1,22,RIGHT,2.39,155.44,95.59,6009,6033,25,832.1,810.8,960.8,781.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,23,LEFT,0.68,55.07,62.2,6183,6193,11,960,780.5,922.3,775,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,24,UP,5.86,232,158.47,6412,6448,37,942.8,758,742.1,566,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,25,UP,2.87,159.15,106.29,6630,6656,27,751.8,537.1,654.5,446.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,26,LEFT,4.86,229.47,22.83,6873,7085,213,656,441.1,392,404.9,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,27,RIGHT,5.62,264.38,165.35,7222,7255,34,404,410.4,710.2,445.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,28,RIGHT,15.33,540.75,289.25,7427,7479,53,679.9,432.2,1527.2,452.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,31,RIGHT,13.99,542.92,233.19,8171,8230,60,837.6,212.3,1602.4,192.1,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,32,RIGHT,1.71,113.29,77.9,8424,8445,22,1610.2,194,1703.7,177.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,33,LEFT,24.52,562.27,62.56,8692,9083,392,1673.3,189.1,413.3,603.9,true,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,34,DOWN,1.52,96.57,72.24,9302,9322,21,416.8,617.6,448.6,676.6,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_1_f1,1,35,RIGHT,7.66,377.22,207.14,9504,9540,37,456.5,673.9,869.5,590.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
1_2_f,1,8,.,0.4,32.99,40.09,6091,6100,10,989,472,982.4,487.3,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
1_2_f,1,2,DOWN,5.65,328.47,113.02,1870,1919,50,1000.2,511,909.3,733.7,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
1_2_f,1,9,DOWN,0.74,57.97,43.71,7845,7861,17,974.3,464.4,964.3,493.2,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
1_2_f,1,7,UP,3.85,207.77,78.63,5899,5947,49,987.6,645.7,989.3,488.9,false,NA,NA,SocialEngagement,female,f_pl_o1_dir_+o,f,dir,+o,2018
